# Number of peaks = 3
# Fitting results:
# pktyp	 xm	 amp	 width	 area
# G	 104.0	 0.1095 	 48.81	 4.318
# G	 188.7	 0.05379 	 83.16	 7.261
# G	 294.2	 0.02182 	 117.9	 4.491
# 
# T	dTG	pksum	pk1	pk2	pk3
+5.9700E+02 -3.5900E-05 +2.9830E-05 +5.4326E-46 +1.8295E-12 +2.9830E-05
+6.0000E+02 -4.2699E-05 +2.6158E-05 +1.5638E-46 +1.2821E-12 +2.6158E-05
+6.0200E+02 -6.4577E-05 +2.3948E-05 +6.7890E-47 +1.0101E-12 +2.3948E-05
+6.0400E+02 -8.8816E-05 +2.1912E-05 +2.9375E-47 +7.9486E-13 +2.1912E-05
+6.0700E+02 -1.0287E-04 +1.9157E-05 +8.3080E-48 +5.5367E-13 +1.9157E-05
+6.1000E+02 -1.1889E-04 +1.6727E-05 +2.3321E-48 +3.8465E-13 +1.6727E-05
+6.1200E+02 -1.4862E-04 +1.5270E-05 +9.9558E-49 +3.0129E-13 +1.5270E-05
+6.1400E+02 -1.7986E-04 +1.3931E-05 +4.2360E-49 +2.3573E-13 +1.3931E-05
+6.1800E+02 -1.8955E-04 +1.1576E-05 +7.5917E-50 +1.4379E-13 +1.1576E-05
+6.2000E+02 -2.2399E-04 +1.0543E-05 +3.1977E-50 +1.1211E-13 +1.0543E-05
+6.2300E+02 -2.4883E-04 +9.1545E-06 +8.6869E-51 +7.7015E-14 +9.1545E-06
+6.2500E+02 -2.8665E-04 +8.3257E-06 +3.6285E-51 +5.9873E-14 +8.3257E-06
+6.2800E+02 -3.1433E-04 +7.2133E-06 +9.7337E-52 +4.0952E-14 +7.2133E-06
+6.3100E+02 -3.4251E-04 +6.2414E-06 +2.5915E-52 +2.7937E-14 +6.2414E-06
+6.3300E+02 -3.8140E-04 +5.6633E-06 +1.0680E-52 +2.1619E-14 +5.6633E-06
+6.3600E+02 -4.0932E-04 +4.8897E-06 +2.8079E-53 +1.4684E-14 +4.8897E-06
+6.3900E+02 -4.3758E-04 +4.2163E-06 +7.3266E-54 +9.9484E-15 +4.2163E-06
+6.4100E+02 -4.7640E-04 +3.8170E-06 +2.9792E-54 +7.6628E-15 +3.8170E-06
+6.4400E+02 -5.0479E-04 +3.2843E-06 +7.6763E-55 +5.1689E-15 +3.2843E-06
+6.4600E+02 -5.4139E-04 +2.9689E-06 +3.0953E-55 +3.9699E-15 +2.9689E-06
+6.4800E+02 -5.7430E-04 +2.6823E-06 +1.2439E-55 +3.0455E-15 +2.6823E-06
+6.5100E+02 -5.9216E-04 +2.3010E-06 +3.1491E-56 +2.0419E-15 +2.3010E-06
+6.5300E+02 -6.1271E-04 +2.0759E-06 +1.2550E-56 +1.5619E-15 +2.0759E-06
+6.5700E+02 -6.0819E-04 +1.6867E-06 +1.9731E-57 +9.1073E-16 +1.6867E-06
+6.5900E+02 -6.1442E-04 +1.5190E-06 +7.7843E-58 +6.9423E-16 +1.5190E-06
+6.6100E+02 -6.1287E-04 +1.3673E-06 +3.0608E-58 +5.2858E-16 +1.3673E-06
+6.6400E+02 -5.9530E-04 +1.1663E-06 +7.4992E-59 +3.5042E-16 +1.1663E-06
+6.6700E+02 -5.7132E-04 +9.9363E-07 +1.8235E-59 +2.3170E-16 +9.9363E-07
